Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis547,983,535,2735,1176,718,939
Spis548.t1,658,268,1766,791,359,507
Spis549,1564,805,4233,1490,1011,1446
Spis550,825,482,2165,941,583,730
Spis551,4108,1996,8484,5849,3286,3257
Spis552,2996,1578,6532,3991,2390,2730
Spis553,1261,702,3094,1314,891,1122
Spis554,993,574,2097,1644,793,1140
Spis555,2083,1057,4884,2429,1348,1718
Spis556,455,226,1209,508,263,460
Spis557,417,161,771,292,198,324
Spis558,861,522,2311,728,542,877
Spis559,1176,496,2729,1218,701,921
Spis560,808,407,2250,906,584,773
Spis561,3092,1386,7631,3621,2154,2823
Spis562,914,522,1980,1408,739,856
Spis563,883,559,2481,1309,758,990
Spis564,1250,708,3047,1373,810,1093
Spis565,594,300,1254,682,439,467
Spis567.t2,238,130,445,230,123,259
Spis568,1432,728,3308,1472,891,1234
Spis569,917,483,2266,877,518,810
Spis570,1728,903,4774,1664,1006,1519
Spis571,591,391,1634,533,393,610
Spis572,1114,561,2468,1200,738,980
Spis573.t1,64,44,246,94,69,93
Spis574,197,121,604,212,166,214
Spis575,105,78,397,127,102,109
Spis576,49,32,268,47,39,63
Spis577,376,221,939,365,247,368
Spis578,2381,1603,5248,3075,1827,2055
Spis579,456,190,1230,522,285,440
Spis580,1719,1050,5055,2872,1491,1569
Spis581,2775,2163,7213,3080,2013,3246
Spis582,503,300,1411,613,373,620
Spis583.t1,179,101,475,219,114,165
Spis584,2159,1214,5142,2090,1146,1738
Spis585,857,296,1572,516,314,473
Spis586,996,459,2195,993,608,788
Spis587,1221,556,2508,1225,722,743
Spis588,1312,591,3620,1123,765,1267
Spis589,1839,1071,6010,2483,1304,1922
Spis590,1535,738,4435,1746,917,1357
Spis591,4968,2982,9674,4506,3635,5541
Spis592,409,239,1059,516,306,404
Spis593,457,224,872,502,295,315
Spis594,126,82,756,109,103,308
Spis595,1060,608,3062,1229,786,1046
Spis596,2332,1262,5641,2605,1572,2151
Spis597,1879,910,5280,1841,1109,1800
Spis598,1424,706,2620,1569,744,871
Spis599,49,25,101,49,48,26
Spis600,496,275,1209,509,345,535
Spis601,2387,1337,6119,3174,1717,2454
Spis602,794,387,2514,851,529,856
Spis603,669,420,1452,766,463,555
Spis604,1282,762,4852,1548,978,1655
Spis605,882,508,2356,1063,649,936
Spis606.t1,48,27,130,49,29,28
Spis607.t1,138,63,299,186,71,113
Spis608.t1,235,136,719,342,185,190
Spis610,454,271,978,545,376,423
Spis611,760,323,1803,768,526,649
Spis612,1973,602,2645,1048,771,910
Spis613,322,211,1228,387,253,436
Spis614,976,451,2114,1017,672,723
Spis615,2602,1194,7692,2312,1435,2917
Spis616,1590,933,4198,1827,1152,1639
Spis617,671,428,1840,927,543,720
Spis618,1895,1097,4956,2687,1431,1935
Spis619,1116,519,2744,1195,677,965
Spis620,1468,855,3598,1836,1071,1357
Spis621,924,332,1992,689,471,629
Spis622,1085,532,2477,1288,694,997
Spis623,1047,620,3601,1242,752,1199
Spis624,1656,1111,4417,2078,1218,1618
Spis625,603,335,1268,669,444,495
Spis626,3646,1730,8237,3730,2095,3122
Spis627,933,550,2175,1181,680,832
Spis628,1026,495,2720,1215,671,961
Spis629,693,371,1586,721,479,737
Spis630,452,263,1101,498,271,401
Spis631,1129,596,2819,1218,796,1067
Spis632,764,401,1948,852,543,729
Spis633,1494,590,3375,1224,811,1119
Spis634,721,384,1866,782,434,602
Spis635,811,473,2360,818,485,721
Spis636,737,447,1484,792,467,516
Spis637,900,501,2114,981,589,752
Spis638,23977,11181,42594,37422,17624,16962
Spis639,498,316,1029,622,412,401
Spis640,486,273,1645,545,385,572
Spis641,2972,1573,7495,3407,2120,2564
Spis642,2153,1127,5291,2511,1488,2199
Spis643.t1,213,128,519,216,156,198
Spis644.t1,108,70,220,105,92,73
Spis645.t2,176,128,335,242,148,165
Spis646,2805,1669,6916,2511,1832,2886
Spis647,810,362,2116,854,480,789
Spis648,458,262,1170,556,358,571
Spis649,4366,2257,7946,4820,3767,4208
Spis650,2782,1144,8052,2875,1625,3719
Spis651,3393,1880,6264,3300,2497,2966
Spis652,450,252,1185,479,300,465
Spis653,408,191,956,370,250,359
Spis654,583,222,944,429,302,355
Spis655,1275,686,3286,1434,846,1044
Spis656,679,346,1528,498,369,601
Spis657,945,629,2602,1294,788,923
Spis658,380,170,595,248,180,239
Spis659,182,125,562,275,157,182
Spis660,772,385,2060,860,523,710
Spis661,3630,2006,9359,3541,2388,4040
Spis662,3645,2108,6580,3012,2290,3828
Spis664,698,432,1774,745,492,645
Spis665,1123,708,3157,1538,1014,1364
